3675.8981 	EXP 	New trial (rep=25, index=0): None
3675.9100 	EXP 	fixation: autoDraw = False
3675.9100 	EXP 	grating: autoDraw = False
3675.9100 	EXP 	grating: ori = 0.0
3675.9100 	EXP 	fixation: autoDraw = True
3676.9093 	EXP 	fixation: autoDraw = False
3676.9093 	EXP 	grating: autoDraw = True
3677.2092 	EXP 	grating: autoDraw = False
3677.5794 	EXP 	New trial (rep=26, index=0): None
3677.5925 	EXP 	fixation: autoDraw = False
3677.5925 	EXP 	grating: autoDraw = False
3677.5925 	EXP 	grating: ori = 4.0
3677.5925 	EXP 	fixation: autoDraw = True
3678.5925 	EXP 	fixation: autoDraw = False
3678.5925 	EXP 	grating: autoDraw = True
3678.8922 	EXP 	grating: autoDraw = False
3679.0459 	EXP 	New trial (rep=27, index=0): None
3679.0589 	EXP 	fixation: autoDraw = False
3679.0589 	EXP 	grating: autoDraw = False
3679.0589 	EXP 	grating: ori = -4.0
3679.0589 	EXP 	fixation: autoDraw = True
3680.0586 	EXP 	fixation: autoDraw = False
3680.0586 	EXP 	grating: autoDraw = True
3680.3587 	EXP 	grating: autoDraw = False
3680.5653 	EXP 	New trial (rep=28, index=0): None
3680.5759 	EXP 	fixation: autoDraw = False
3680.5759 	EXP 	grating: autoDraw = False
3680.5759 	EXP 	grating: ori = 0.0
3680.5759 	EXP 	fixation: autoDraw = True
3681.5750 	EXP 	fixation: autoDraw = False
3681.5750 	EXP 	grating: autoDraw = True
3681.8750 	EXP 	grating: autoDraw = False
3682.2285 	EXP 	New trial (rep=29, index=0): None
3682.2419 	EXP 	fixation: autoDraw = False
3682.2419 	EXP 	grating: autoDraw = False
3682.2419 	EXP 	grating: ori = -3.0
3682.2419 	EXP 	fixation: autoDraw = True
3683.2415 	EXP 	fixation: autoDraw = False
3683.2415 	EXP 	grating: autoDraw = True
3683.5415 	EXP 	grating: autoDraw = False
3683.7947 	EXP 	New trial (rep=30, index=0): None
3683.8086 	EXP 	fixation: autoDraw = False
3683.8086 	EXP 	grating: autoDraw = False
3683.8086 	EXP 	grating: ori = 3.0
3683.8086 	EXP 	fixation: autoDraw = True
3684.8077 	EXP 	fixation: autoDraw = False
3684.8077 	EXP 	grating: autoDraw = True
3685.1076 	EXP 	grating: autoDraw = False
3685.4141 	EXP 	New trial (rep=31, index=0): None
3685.4248 	EXP 	fixation: autoDraw = False
3685.4248 	EXP 	grating: autoDraw = False
3685.4248 	EXP 	grating: ori = 0.0
3685.4248 	EXP 	fixation: autoDraw = True
3686.4239 	EXP 	fixation: autoDraw = False
3686.4239 	EXP 	grating: autoDraw = True
3686.7237 	EXP 	grating: autoDraw = False
3686.9811 	EXP 	New trial (rep=32, index=0): None
3686.9915 	EXP 	fixation: autoDraw = False
3686.9915 	EXP 	grating: autoDraw = False
3686.9915 	EXP 	grating: ori = 0.0
3686.9915 	EXP 	fixation: autoDraw = True
3687.9905 	EXP 	fixation: autoDraw = False
3687.9905 	EXP 	grating: autoDraw = True
3688.2901 	EXP 	grating: autoDraw = False
3688.5964 	EXP 	New trial (rep=33, index=0): None
3688.6071 	EXP 	fixation: autoDraw = False
3688.6071 	EXP 	grating: autoDraw = False
3688.6071 	EXP 	grating: ori = 0.0
3688.6071 	EXP 	fixation: autoDraw = True
3689.6067 	EXP 	fixation: autoDraw = False
3689.6067 	EXP 	grating: autoDraw = True
3689.9066 	EXP 	grating: autoDraw = False
3690.0765 	EXP 	New trial (rep=34, index=0): None
3690.0899 	EXP 	fixation: autoDraw = False
3690.0899 	EXP 	grating: autoDraw = False
3690.0899 	EXP 	grating: ori = 0.0
3690.0899 	EXP 	fixation: autoDraw = True
3691.0910 	EXP 	fixation: autoDraw = False
3691.0910 	EXP 	grating: autoDraw = True
3691.4063 	EXP 	grating: autoDraw = False
3692.0278 	EXP 	New trial (rep=35, index=0): None
3692.0396 	EXP 	fixation: autoDraw = False
3692.0396 	EXP 	grating: autoDraw = False
3692.0396 	EXP 	grating: ori = 0.0
3692.0396 	EXP 	fixation: autoDraw = True
3693.0399 	EXP 	fixation: autoDraw = False
3693.0399 	EXP 	grating: autoDraw = True
3693.3393 	EXP 	grating: autoDraw = False
3693.5624 	EXP 	New trial (rep=36, index=0): None
3693.5732 	EXP 	fixation: autoDraw = False
3693.5732 	EXP 	grating: autoDraw = False
3693.5732 	EXP 	grating: ori = 2.0
3693.5732 	EXP 	fixation: autoDraw = True
3694.5724 	EXP 	fixation: autoDraw = False
3694.5724 	EXP 	grating: autoDraw = True
3694.8723 	EXP 	grating: autoDraw = False
3695.0959 	EXP 	New trial (rep=37, index=0): None
3695.1081 	EXP 	fixation: autoDraw = False
3695.1081 	EXP 	grating: autoDraw = False
3695.1081 	EXP 	grating: ori = -2.0
3695.1081 	EXP 	fixation: autoDraw = True
3696.1058 	EXP 	grating: autoDraw = True
3696.1221 	EXP 	fixation: autoDraw = False
3696.4048 	EXP 	grating: autoDraw = False
3696.6286 	EXP 	New trial (rep=38, index=0): None
3696.6396 	EXP 	fixation: autoDraw = False
3696.6396 	EXP 	grating: autoDraw = False
3696.6396 	EXP 	grating: ori = -4.0
3696.6396 	EXP 	fixation: autoDraw = True
3697.6384 	EXP 	grating: autoDraw = True
3697.6552 	EXP 	fixation: autoDraw = False
3697.9383 	EXP 	grating: autoDraw = False
3698.2087 	EXP 	New trial (rep=39, index=0): None
3698.2217 	EXP 	fixation: autoDraw = False
3698.2217 	EXP 	grating: autoDraw = False
3698.2217 	EXP 	grating: ori = -5.0
3698.2217 	EXP 	fixation: autoDraw = True
3699.2215 	EXP 	fixation: autoDraw = False
3699.2215 	EXP 	grating: autoDraw = True
3699.5216 	EXP 	grating: autoDraw = False
3699.7256 	EXP 	New trial (rep=40, index=0): None
3699.7381 	EXP 	fixation: autoDraw = False
3699.7381 	EXP 	grating: autoDraw = False
3699.7381 	EXP 	grating: ori = 3.0
3699.7381 	EXP 	fixation: autoDraw = True
3700.7379 	EXP 	fixation: autoDraw = False
3700.7379 	EXP 	grating: autoDraw = True
3701.0378 	EXP 	grating: autoDraw = False
3701.5242 	EXP 	New trial (rep=41, index=0): None
3701.5378 	EXP 	fixation: autoDraw = False
3701.5378 	EXP 	grating: autoDraw = False
3701.5378 	EXP 	grating: ori = 0.0
3701.5378 	EXP 	fixation: autoDraw = True
3702.5379 	EXP 	fixation: autoDraw = False
3702.5379 	EXP 	grating: autoDraw = True
3702.8376 	EXP 	grating: autoDraw = False
3703.2906 	EXP 	New trial (rep=42, index=0): None
3703.3039 	EXP 	fixation: autoDraw = False
3703.3039 	EXP 	grating: autoDraw = False
3703.3039 	EXP 	grating: ori = 3.0
3703.3039 	EXP 	fixation: autoDraw = True
3704.3041 	EXP 	fixation: autoDraw = False
3704.3041 	EXP 	grating: autoDraw = True
3704.6037 	EXP 	grating: autoDraw = False
3705.0274 	EXP 	New trial (rep=43, index=0): None
3705.0396 	EXP 	fixation: autoDraw = False
3705.0396 	EXP 	grating: autoDraw = False
3705.0396 	EXP 	grating: ori = 4.0
3705.0396 	EXP 	fixation: autoDraw = True
3706.0368 	EXP 	grating: autoDraw = True
3706.0537 	EXP 	fixation: autoDraw = False
3706.3367 	EXP 	grating: autoDraw = False
3706.7101 	EXP 	New trial (rep=44, index=0): None
3706.7215 	EXP 	fixation: autoDraw = False
3706.7215 	EXP 	grating: autoDraw = False
3706.7215 	EXP 	grating: ori = 0.0
3706.7215 	EXP 	fixation: autoDraw = True
3707.7199 	EXP 	grating: autoDraw = True
3707.7365 	EXP 	fixation: autoDraw = False
3708.0196 	EXP 	grating: autoDraw = False
3708.2567 	EXP 	New trial (rep=45, index=0): None
3708.2709 	EXP 	fixation: autoDraw = False
3708.2709 	EXP 	grating: autoDraw = False
3708.2709 	EXP 	grating: ori = 0.0
3708.2709 	EXP 	fixation: autoDraw = True
3709.2699 	EXP 	grating: autoDraw = True
3709.2864 	EXP 	fixation: autoDraw = False
3709.5694 	EXP 	grating: autoDraw = False
3709.6268 	EXP 	New trial (rep=46, index=0): None
3709.6383 	EXP 	fixation: autoDraw = False
3709.6383 	EXP 	grating: autoDraw = False
3709.6383 	EXP 	grating: ori = -4.0
3709.6383 	EXP 	fixation: autoDraw = True
3710.6361 	EXP 	grating: autoDraw = True
3710.6523 	EXP 	fixation: autoDraw = False
3710.9357 	EXP 	grating: autoDraw = False
3711.1907 	EXP 	New trial (rep=47, index=0): None
3711.2023 	EXP 	fixation: autoDraw = False
3711.2023 	EXP 	grating: autoDraw = False
3711.2023 	EXP 	grating: ori = 0.0
3711.2023 	EXP 	fixation: autoDraw = True
3712.2021 	EXP 	fixation: autoDraw = False
3712.2021 	EXP 	grating: autoDraw = True
3712.5022 	EXP 	grating: autoDraw = False
3712.8063 	EXP 	New trial (rep=48, index=0): None
3712.8189 	EXP 	fixation: autoDraw = False
3712.8189 	EXP 	grating: autoDraw = False
3712.8189 	EXP 	grating: ori = 0.0
3712.8189 	EXP 	fixation: autoDraw = True
3713.8185 	EXP 	fixation: autoDraw = False
3713.8185 	EXP 	grating: autoDraw = True
3714.1185 	EXP 	grating: autoDraw = False
3714.3422 	EXP 	New trial (rep=49, index=0): None
3714.3536 	EXP 	fixation: autoDraw = False
3714.3536 	EXP 	grating: autoDraw = False
3714.3536 	EXP 	grating: ori = 0.0
3714.3536 	EXP 	fixation: autoDraw = True
3715.3515 	EXP 	grating: autoDraw = True
3715.3682 	EXP 	fixation: autoDraw = False
3715.6514 	EXP 	grating: autoDraw = False
3715.8055 	EXP 	New trial (rep=50, index=0): None
3715.8182 	EXP 	fixation: autoDraw = False
3715.8182 	EXP 	grating: autoDraw = False
3715.8182 	EXP 	grating: ori = 0.0
3715.8182 	EXP 	fixation: autoDraw = True
3716.8182 	EXP 	fixation: autoDraw = False
3716.8182 	EXP 	grating: autoDraw = True
3717.1177 	EXP 	grating: autoDraw = False
3717.3240 	EXP 	New trial (rep=51, index=0): None
3717.3349 	EXP 	fixation: autoDraw = False
3717.3349 	EXP 	grating: autoDraw = False
3717.3349 	EXP 	grating: ori = 2.0
3717.3349 	EXP 	fixation: autoDraw = True
3718.3343 	EXP 	fixation: autoDraw = False
3718.3343 	EXP 	grating: autoDraw = True
3718.6342 	EXP 	grating: autoDraw = False
3719.0379 	EXP 	New trial (rep=52, index=0): None
3719.0508 	EXP 	fixation: autoDraw = False
3719.0508 	EXP 	grating: autoDraw = False
3719.0508 	EXP 	grating: ori = 0.0
3719.0508 	EXP 	fixation: autoDraw = True
3720.0505 	EXP 	fixation: autoDraw = False
3720.0505 	EXP 	grating: autoDraw = True
3720.3503 	EXP 	grating: autoDraw = False
3720.4900 	EXP 	New trial (rep=53, index=0): None
3720.5011 	EXP 	fixation: autoDraw = False
3720.5011 	EXP 	grating: autoDraw = False
3720.5011 	EXP 	grating: ori = 0.0
3720.5011 	EXP 	fixation: autoDraw = True
3721.5005 	EXP 	fixation: autoDraw = False
3721.5005 	EXP 	grating: autoDraw = True
3721.8002 	EXP 	grating: autoDraw = False
3721.9903 	EXP 	New trial (rep=54, index=0): None
3722.0018 	EXP 	fixation: autoDraw = False
3722.0018 	EXP 	grating: autoDraw = False
3722.0018 	EXP 	grating: ori = -4.0
3722.0018 	EXP 	fixation: autoDraw = True
3723.0001 	EXP 	grating: autoDraw = True
3723.0168 	EXP 	fixation: autoDraw = False
3723.2999 	EXP 	grating: autoDraw = False
3723.6731 	EXP 	New trial (rep=55, index=0): None
3723.6838 	EXP 	fixation: autoDraw = False
3723.6838 	EXP 	grating: autoDraw = False
3723.6838 	EXP 	grating: ori = 0.0
3723.6838 	EXP 	fixation: autoDraw = True
3724.6830 	EXP 	grating: autoDraw = True
3724.6995 	EXP 	fixation: autoDraw = False
3724.9830 	EXP 	grating: autoDraw = False
3725.4560 	EXP 	New trial (rep=56, index=0): None
3725.4668 	EXP 	fixation: autoDraw = False
3725.4668 	EXP 	grating: autoDraw = False
3725.4668 	EXP 	grating: ori = 1.0
3725.4668 	EXP 	fixation: autoDraw = True
3726.4659 	EXP 	fixation: autoDraw = False
3726.4659 	EXP 	grating: autoDraw = True
3726.7658 	EXP 	grating: autoDraw = False
3727.6714 	EXP 	New trial (rep=57, index=0): None
3727.6827 	EXP 	fixation: autoDraw = False
3727.6827 	EXP 	grating: autoDraw = False
3727.6827 	EXP 	grating: ori = 0.0
3727.6827 	EXP 	fixation: autoDraw = True
3728.6824 	EXP 	fixation: autoDraw = False
3728.6824 	EXP 	grating: autoDraw = True
3728.9820 	EXP 	grating: autoDraw = False
3729.2713 	EXP 	New trial (rep=58, index=0): None
3729.2842 	EXP 	fixation: autoDraw = False
3729.2842 	EXP 	grating: autoDraw = False
3729.2842 	EXP 	grating: ori = 0.0
3729.2842 	EXP 	fixation: autoDraw = True
3730.2832 	EXP 	grating: autoDraw = True
3730.2984 	EXP 	fixation: autoDraw = False
3730.5984 	EXP 	grating: autoDraw = False
3730.7877 	EXP 	New trial (rep=59, index=0): None
3730.7983 	EXP 	fixation: autoDraw = False
3730.7983 	EXP 	grating: autoDraw = False
3730.7983 	EXP 	grating: ori = 0.0
3730.7983 	EXP 	fixation: autoDraw = True
3731.7982 	EXP 	fixation: autoDraw = False
3731.7982 	EXP 	grating: autoDraw = True
3732.0980 	EXP 	grating: autoDraw = False
3732.3032 	EXP 	New trial (rep=60, index=0): None
3732.3151 	EXP 	fixation: autoDraw = False
3732.3151 	EXP 	grating: autoDraw = False
3732.3151 	EXP 	grating: ori = 0.0
3732.3151 	EXP 	fixation: autoDraw = True
3733.3145 	EXP 	fixation: autoDraw = False
3733.3145 	EXP 	grating: autoDraw = True
3733.6142 	EXP 	grating: autoDraw = False
3733.8189 	EXP 	New trial (rep=61, index=0): None
3733.8309 	EXP 	fixation: autoDraw = False
3733.8309 	EXP 	grating: autoDraw = False
3733.8309 	EXP 	grating: ori = 4.0
3733.8309 	EXP 	fixation: autoDraw = True
3734.8309 	EXP 	fixation: autoDraw = False
